Timestamp
Score
Time
Life
Score/10s
Life/10s
Reflexes
Ball Speed
Ball Spawn Rate
Life Spawn Rate
2023-11-22 00:13:45,4,8,10,0,0,0,10,4,8
2023-11-22 00:13:48,0,299,0197,3,0,0,0,30,5,5
2023-11-22 00:13:49,0,298,0077,3,0,1,5,0,30,5,5
2023-11-22 00:13:50,0,297,0164,2,0,2,25,1,506343,30,5,5
2023-11-22 00:13:51,0,296,002,1,0,2,125,1,508326,30,5,5
2023-11-22 00:13:52,0,294,9839,1,0,1,5625,1,50869,30,5,5
2023-11-22 00:13:53,0,293,9868,1,0,1,28125,1,50869,30,5,5
2023-11-22 00:13:54,0,292,9855,1,0,1,140625,1,508467,30,5,5
2023-11-22 00:13:55,0,291,9644,1,0,1,070313,1,508471,30,5,5
2023-11-22 00:13:56,0,290,9607,1,0,1,035156,1,508262,30,5,5
2023-11-22 00:13:57,0,289,9542,1,0,1,017578,1,508341,30,5,5
2023-11-22 00:13:58,0,288,9246,1,0,1,008789,1,508341,30,5,5
2023-11-22 00:13:59,0,287,9254,1,0,1,004395,1,506654,30,5,5
2023-11-22 00:14:00,0,286,9174,1,0,1,002197,1,505704,30,5,5
2023-11-22 00:14:01,0,285,9102,1,0,1,001099,1,505704,30,5,5
2023-11-22 00:14:02,0,284,9093,1,0,1,000549,1,504076,30,5,5
2023-11-22 00:14:03,0,283,8915,1,0,1,000275,1,504563,30,5,5
2023-11-22 00:14:04,0,282,885,1,0,1,000137,1,504563,30,5,5
2023-11-22 00:14:05,0,281,8819,1,0,1,000069,1,505023,30,5,5
2023-11-22 00:14:06,0,280,8756,1,0,1,000034,1,509317,30,5,5
2023-11-22 00:14:07,0,279,8704,1,0,1,000017,1,50647,30,5,5
2023-11-22 00:14:08,0,278,8633,1,0,1,000009,1,505538,30,5,5
2023-11-22 00:14:09,0,277,8666,1,0,1,000004,1,50185,30,5,5
2023-11-22 00:14:10,0,276,8446,1,0,1,000002,1,503983,30,5,5
2023-11-22 00:14:11,0,275,8445,1,0,1,000001,1,502834,30,5,5
2023-11-22 00:14:12,0,274,8347,1,0,1,1,504819,30,5,5
2023-11-22 00:14:13,0,273,8238,1,0,1,1,505798,30,5,5
2023-11-22 00:14:14,0,272,8246,1,0,1,1,505798,30,5,5
2023-11-22 00:14:15,0,271,8026,1,0,1,1,507858,30,5,5
2023-11-22 00:14:16,0,270,8011,1,0,1,1,506522,30,5,5
2023-11-22 00:14:17,0,269,8078,1,0,1,1,504706,30,5,5
2023-11-22 00:14:18,0,268,8024,1,0,1,1,504267,30,5,5
2023-11-22 00:14:19,0,267,7877,1,0,1,1,504121,30,5,5
2023-11-22 00:14:20,0,266,7797,1,0,1,1,503968,30,5,5
2023-11-22 00:14:21,0,265,765,1,0,1,1,503968,30,5,5
2023-11-22 00:14:22,0,264,7433,1,0,1,1,503741,30,5,5
2023-11-22 00:14:23,0,263,7444,1,0,1,1,502449,30,5,5
2023-11-22 00:14:24,0,262,7436,1,0,1,1,502449,30,5,5
2023-11-22 00:14:25,0,261,7282,1,0,1,1,502449,30,5,5
2023-11-22 00:14:26,0,260,722,1,0,1,1,502445,30,5,5
2023-11-22 00:14:27,0,259,7388,1,0,1,1,502445,30,5,5
2023-11-22 00:14:28,0,258,7241,1,0,1,1,501492,30,5,5
2023-11-22 00:14:29,0,257,7241,1,0,1,1,502295,30,5,5
2023-11-22 00:14:30,0,256,7238,1,0,1,1,502286,30,5,5
2023-11-22 00:14:31,0,255,7021,1,0,1,1,502576,30,5,5
2023-11-22 00:14:32,0,254,698,1,0,1,1,502576,30,5,5
2023-11-22 00:14:33,0,253,6814,1,0,1,1,502576,30,5,5
2023-11-22 00:14:34,0,252,6853,1,0,1,1,509718,30,5,5
2023-11-22 00:14:35,0,251,726,1,0,1,1,385817,30,5,5
2023-11-22 00:14:36,0,250,6275,1,0,1,1,385817,30,5,5
2023-11-22 00:14:37,0,249,6233,1,0,1,1,448761,30,5,5
2023-11-22 00:14:38,0,248,6142,1,0,1,1,448761,30,5,5
2023-11-22 00:14:39,0,247,6105,1,0,1,1,448761,30,5,5
2023-11-22 00:14:40,0,246,6134,1,0,1,1,495004,30,5,5
2023-11-22 00:14:41,0,245,6093,1,0,1,1,50062,30,5,5
2023-11-22 00:14:42,0,244,5822,1,0,1,1,503434,30,5,5
2023-11-22 00:14:43,0,243,5783,1,0,1,1,503434,30,5,5
2023-11-22 00:14:44,0,242,5601,1,0,1,1,508598,30,5,5
2023-11-22 00:14:45,0,241,5464,1,0,1,1,508598,30,5,5
2023-11-22 00:14:46,0,240,5476,1,0,1,1,508598,30,5,5
2023-11-22 00:14:47,0,239,5473,1,0,1,1,508598,30,5,5
2023-11-22 00:14:48,0,238,5248,1,0,1,1,503454,30,5,5
2023-11-22 00:14:50,0,237,5266,1,0,1,1,503064,30,5,5
2023-11-22 00:14:51,0,236,5146,1,0,1,1,50444,30,5,5
2023-11-22 00:14:52,0,235,5146,1,0,1,1,509418,30,5,5
2023-11-22 00:14:53,0,234,5043,1,0,1,1,505645,30,5,5
2023-11-22 00:14:54,0,233,4825,1,0,1,1,505905,30,5,5
2023-11-22 00:14:55,0,232,4815,1,0,1,1,504749,30,5,5
2023-11-22 00:14:56,0,231,483,1,0,1,1,505827,30,5,5
2023-11-22 00:14:57,0,230,4943,1,0,1,1,504905,30,5,5
2023-11-22 00:14:58,0,229,473,1,0,1,1,505043,30,5,5
2023-11-22 00:14:59,0,228,4652,1,0,1,1,505993,30,5,5
2023-11-22 00:15:00,0,227,4505,1,0,1,1,50405,30,5,5
2023-11-22 00:15:01,0,226,4421,1,0,1,1,502796,30,5,5
2023-11-22 00:15:02,0,225,4409,1,0,1,1,504827,30,5,5
2023-11-22 00:15:03,0,224,4318,1,0,1,1,50743,30,5,5
2023-11-22 00:15:04,0,223,4167,1,0,1,1,50743,30,5,5
2023-11-22 00:15:05,0,222,4076,1,0,1,1,50743,30,5,5
2023-11-22 00:15:06,0,221,4072,1,0,1,1,505714,30,5,5
2023-11-22 00:15:07,0,220,4111,1,0,1,1,505371,30,5,5
2023-11-22 00:15:08,0,219,3839,1,0,1,1,505474,30,5,5
2023-11-22 00:15:09,0,218,388,1,0,1,1,502158,30,5,5
2023-11-22 00:15:10,0,217,3855,1,0,1,1,506113,30,5,5
2023-11-22 00:15:11,0,216,3833,1,0,1,1,506085,30,5,5
2023-11-22 00:15:12,0,215,3691,1,0,1,1,503912,30,5,5
2023-11-22 00:15:13,0,214,3682,1,0,1,1,503912,30,5,5
2023-11-22 00:15:14,0,213,3624,1,0,1,1,508582,30,5,5
2023-11-22 00:15:15,0,212,3672,1,0,1,1,506794,30,5,5
2023-11-22 00:15:16,0,211,3669,1,0,1,1,507478,30,5,5
2023-11-22 00:15:17,0,210,3608,1,0,1,1,507478,30,5,5
2023-11-22 00:15:18,0,209,3504,1,0,1,1,505612,30,5,5
2023-11-22 00:15:19,0,208,3483,1,0,1,1,505612,30,5,5
2023-11-22 00:15:20,0,207,3466,1,0,1,1,509558,30,5,5
2023-11-22 00:15:21,0,206,3495,1,0,1,1,509393,30,5,5
2023-11-22 00:15:22,0,205,3267,1,0,1,1,507291,30,5,5
2023-11-22 00:15:23,0,204,3232,1,0,1,1,505033,30,5,5
2023-11-22 00:15:24,0,203,3306,1,0,1,1,503657,30,5,5
2023-11-22 00:15:25,0,202,3228,1,0,1,1,509692,30,5,5
2023-11-22 00:15:26,0,201,3321,1,0,1,1,509692,30,5,5
2023-11-22 00:15:27,0,200,3017,1,0,1,1,506849,30,5,5
2023-11-22 00:15:28,0,199,3078,1,0,1,1,506358,30,5,5
2023-11-22 00:15:29,0,198,3124,1,0,1,1,506358,30,5,5
2023-11-22 00:15:30,0,197,2876,1,0,1,1,508455,30,5,5
2023-11-22 00:15:31,0,196,2878,1,0,1,1,509225,30,5,5
2023-11-22 00:15:32,0,195,2866,1,0,1,1,509225,30,5,5
2023-11-22 00:15:33,0,194,2658,1,0,1,1,505089,30,5,5
2023-11-22 00:15:34,0,193,2674,1,0,1,1,504189,30,5,5
2023-11-22 00:15:35,0,192,2499,1,0,1,1,501076,30,5,5
2023-11-22 00:15:36,0,191,2474,1,0,1,1,507374,30,5,5
2023-11-22 00:15:37,0,190,239,1,0,1,1,511262,30,5,5
2023-11-22 00:15:38,0,189,225,1,0,1,1,504046,30,5,5
2023-11-22 00:15:39,0,188,2241,1,0,1,1,504046,30,5,5
2023-11-22 00:15:40,0,187,2235,1,0,1,1,502744,30,5,5
2023-11-22 00:15:41,0,186,2206,1,0,1,1,502744,30,5,5
2023-11-22 00:15:42,0,185,2117,1,0,1,1,508565,30,5,5
2023-11-22 00:15:43,0,184,2059,1,0,1,1,508565,30,5,5
2023-11-22 00:15:44,0,183,202,1,0,1,1,507376,30,5,5
2023-11-22 00:15:45,0,182,2017,1,0,1,1,506427,30,5,5
2023-11-22 00:15:46,0,181,1881,1,0,1,1,505149,30,5,5
2023-11-22 00:15:47,0,180,1881,1,0,1,1,501453,30,5,5
2023-11-22 00:15:48,0,179,183,1,0,1,1,506995,30,5,5
2023-11-22 00:15:49,0,178,1872,1,0,1,1,506995,30,5,5
2023-11-22 00:15:50,0,177,1637,1,0,1,1,506362,30,5,5
2023-11-22 00:15:51,0,176,1766,1,0,1,1,503525,30,5,5
2023-11-22 00:15:52,0,175,1619,1,0,1,1,504566,30,5,5
2023-11-22 00:15:53,0,174,1618,1,0,1,1,504566,30,5,5
