Timestamp,Score,Time,Score/10s,Reflexes,Ball Speed
2023-11-22 21:33:55,4,80,0,10
2023-11-22 21:33:58,0,299,01820,0,30
2023-11-22 21:33:59,0,298,00630,0,30
2023-11-22 21:34:00,0,297,0040,1,50627,30
2023-11-22 21:34:01,0,296,0110,1,508081,30
2023-11-22 21:34:02,0,295,00630,1,506945,30
2023-11-22 21:34:03,0,293,98840,1,506837,30
2023-11-22 21:34:04,0,292,97090,1,507203,30
2023-11-22 21:34:05,0,291,96720,1,50832,30
2023-11-22 21:34:06,0,290,95320,1,508217,30
2023-11-22 21:34:07,0,289,9670,1,506613,30
2023-11-22 21:34:08,0,288,92420,1,505202,30
2023-11-22 21:34:09,0,287,91240,1,508287,30
2023-11-22 21:34:10,0,286,90050,1,508287,30
2023-11-22 21:34:11,0,285,90480,1,508287,30
2023-11-22 21:34:12,0,284,89160,1,514704,30
2023-11-22 21:34:13,0,283,88590,1,514704,30
2023-11-22 21:34:14,0,282,94350,1,510967,30
2023-11-22 21:34:15,0,281,85680,1,506245,30
2023-11-22 21:34:16,0,280,85440,1,506245,30
2023-11-22 21:34:17,0,279,85360,1,50474,30
2023-11-22 21:34:18,0,278,83220,1,543577,30
2023-11-22 21:34:19,0,277,79960,1,615427,30
2023-11-22 21:34:20,0,276,81190,1,549113,30
2023-11-22 21:34:21,0,275,76280,1,534015,30
2023-11-22 21:34:22,0,274,80530,1,534015,30
2023-11-22 21:34:23,0,273,68860,1,585012,30
2023-11-22 21:34:24,0,272,68180,1,585012,30
2023-11-22 21:34:25,0,271,60210,1,453114,30
2023-11-22 21:34:26,0,270,5810,1,453114,30
2023-11-22 21:34:27,0,269,50810,1,503555,30
2023-11-22 21:34:28,0,268,4940,1,504753,30
2023-11-22 21:34:29,0,267,48310,1,504753,30
2023-11-22 21:34:30,0,266,46530,1,509699,30
2023-11-22 21:34:31,0,265,46210,1,510616,30
2023-11-22 21:34:32,0,264,46280,1,505886,30
2023-11-22 21:34:33,0,263,48250,1,507055,30
2023-11-22 21:34:35,0,262,43720,1,496362,30
2023-11-22 21:34:37,0,261,43050,1,503653,30
2023-11-22 21:34:39,0,260,49040,1,503653,30
2023-11-22 21:34:40,0,259,37520,1,501998,30
2023-11-22 21:34:41,0,258,16350,1,51239,30
2023-11-22 21:34:42,0,257,18050,1,509569,30
2023-11-22 21:34:43,0,256,08520,1,504907,30
2023-11-22 21:34:44,0,255,06890,1,503587,30
2023-11-22 21:34:45,0,254,11450,1,504673,30
2023-11-22 21:34:46,0,253,03210,1,508309,30
2023-11-22 21:34:47,0,252,01950,1,508309,30
2023-11-22 21:34:48,0,250,99860,1,53598,30
2023-11-22 21:35:06,0,249,97320,1,530559,30
2023-11-22 21:35:06,0,248,68270,1,61131,30
2023-11-22 21:35:10,0,247,9590,1,548396,30
2023-11-22 21:35:11,0,246,62770,1,525697,30
2023-11-22 21:35:12,0,245,63150,1,507737,30
2023-11-22 21:35:13,0,244,62030,1,508977,30
2023-11-22 21:35:14,0,243,61150,1,539231,30
2023-11-22 21:35:15,0,242,61740,1,511263,30
2023-11-22 21:35:16,0,241,58090,1,474515,30
2023-11-22 21:35:17,0,240,60920,1,474515,30
2023-11-22 21:35:18,0,239,6380,1,496848,30
2023-11-22 21:35:19,0,238,58280,1,485409,30
2023-11-22 21:35:20,0,237,49350,1,485409,30
2023-11-22 21:35:21,0,236,48590,1,422968,30
2023-11-22 21:35:23,0,235,52070,1,616325,30
2023-11-22 21:35:24,0,234,28160,1,564312,30
2023-11-22 21:35:25,0,233,17290,1,529394,30
2023-11-22 21:35:26,0,232,1740,1,522495,30
2023-11-22 21:35:27,0,231,15830,1,516324,30
2023-11-22 21:35:28,0,230,14620,1,516324,30
2023-11-22 21:35:29,0,229,15160,1,508967,30
2023-11-22 21:35:30,0,228,12890,1,508967,30
2023-11-22 21:35:31,0,227,10410,1,503689,30
2023-11-22 21:35:32,0,226,09360,1,504767,30
2023-11-22 21:35:33,0,225,08070,1,502792,30
